date,away_team,away_pt,home_team,home_pt,away_open_sp,away_open_line,away_fduel_sp,away_fduel_line,away_bmgm_sp,away_bmgm_line,away_czr_sp,away_czr_line,away_dking_sp,away_dking_line,away_rivers_sp,away_rivers_line,away_vinsider_sp,away_vinsider_line,home_open_sp,home_open_line,home_fduel_sp,home_fduel_line,home_bmgm_sp,home_bmgm_line,home_czr_sp,home_czr_line,home_dking_sp,home_dking_line,home_rivers_sp,home_rivers_line,home_vinsider_sp,home_vinsider_line
Tue Jan 31 2023,Miami Heat,100,Cleveland Cavaliers,97,o209.5,-110,o210.5,-110,o210.5,-110,o211.5,-110,o211,-105,o211,-109,o210.5,-110,u209.5,-110,u210.5,-110,u210.5,-110,u211.5,-110,u211,-115,u211,-112,u210.5,-110
Tue Jan 31 2023,Los Angeles Lakers,129,New York Knicks,123,o237.5,-110,o232,-110,o231.5,-110,o231,-110,o231.5,-110,o232,-110,o232,-110,u237.5,-110,u232,-110,u231.5,-110,u231,-110,u231.5,-110,u232,-110,u232,-110
Tue Jan 31 2023,Los Angeles Clippers,108,Chicago Bulls,103,o230.5,-110,o225.5,-110,o225.5,-110,o225,-110,o225.5,-105,o225,-113,o225.5,-110,u230.5,-110,u225.5,-110,u225.5,-110,u225,-110,u225.5,-115,u225,-108,u225.5,-110
Tue Jan 31 2023,Charlotte Hornets,115,Milwaukee Bucks,124,o239,-110,o245,-110,o244.5,-110,o244.5,-110,o244,-115,o245,-109,o245,-110,u239,-110,u245,-110,u244.5,-110,u244.5,-110,u244,-105,u245,-112,u245,-110
Tue Jan 31 2023,New Orleans Pelicans,113,Denver Nuggets,122,o234,-110,o232.5,-110,o231.5,-115,o232.5,-110,o232,-110,o232,-110,o232.5,-110,u234,-110,u232.5,-110,u231.5,-105,u232.5,-110,u232,-110,u232,-110,u232.5,-110
Wed Feb 1 2023,Portland Trail Blazers,122,Memphis Grizzlies,112,o234.5,-110,o239,-110,o239.5,-110,o239.5,-110,o239,-110,o239.5,-110,o239,-110,u234.5,-110,u239,-110,u239.5,-110,u239.5,-110,u239,-110,u239.5,-110,u239,-110
Wed Feb 1 2023,Orlando Magic,94,Philadelphia 76ers,105,o231,-110,o230.5,-108,o229.5,-115,o229.5,-110,o230.5,-105,o231,-109,o230.5,-108,u231,-110,u230.5,-112,u229.5,-105,u229.5,-110,u230.5,-115,u231,-112,u230.5,-112
Wed Feb 1 2023,Brooklyn Nets,96,Boston Celtics,139,o226.5,-112,o224,-110,o224.5,-105,o224,-110,o223.5,-105,o224,-108,o224,-110,u226.5,-108,u224,-110,u224.5,-115,u224,-110,u223.5,-115,u224,-113,u224,-110
Wed Feb 1 2023,Oklahoma City Thunder,106,Houston Rockets,112,o230.5,-110,o232.5,-110,o231.5,-115,o232,-110,o231.5,-110,o232.5,-112,o232.5,-110,u230.5,-110,u232.5,-110,u231.5,-105,u232,-110,u231.5,-110,u232.5,-109,u232.5,-110
Wed Feb 1 2023,Golden State Warriors,114,Minnesota Timberwolves,119,o240,-110,o240.5,-110,o240.5,-115,o241,-110,o240.5,-110,o240.5,-112,o240.5,-110,u240,-110,u240.5,-110,u240.5,-105,u241,-110,u240.5,-110,u240.5,-109,u240.5,-110
